,贪心算法,,局部搜索算法,
,Result,Time(s),Result,Time(s)
p1,12812,0.00032582,13037,0.000440165
p2,9041,0.000362296,9676,0.00040369
p3,11041,0.000319673,11766,0.000384427
p4,13041,0.000320493,13723,0.000379919
p5,13183,0.000308197,13626,0.000407788
p6,9513,0.000324591,10386,0.000383608
p7,11513,0.000323361,12064,0.000383608
p8,13513,0.000321312,14286,0.000384427
p9,12147,0.000320493,13103,0.000386067
p10,9041,0.000322542,9508,0.000392624
p11,11041,0.000415575,11404,0.000372132
p12,13041,0.000312706,14100,0.000372132
p13,12034,0.000535657,12973,0.000618034
p14,9426,0.000540575,9704,0.000645903
p15,13026,0.000568034,13740,0.000612297
p16,16626,0.000548362,17465,0.000637297
p17,11065,0.000567624,11486,0.000644674
p18,9426,0.000631149,10271,0.000670084
p19,13026,0.000572952,13613,0.000623772
p20,16626,0.000567624,17226,0.000617624
p21,10554,0.000542214,11434,0.000621313
p22,9426,0.000546723,10162,0.000618034
p23,13026,0.000586477,13447,0.000624592
p24,16626,0.000566805,16626,0.000612297
p25,18386,0.002260251,18727,0.002561072
p26,14125,0.002281973,15586,0.002497957
p27,18925,0.00243935,19201,0.002586482
p28,23725,0.002284432,25306,0.002572547
p29,20059,0.002328694,20902,0.002536482
p30,14750,0.002683203,14859,0.002594269
p31,19950,0.002395908,20359,0.002611892
p32,25150,0.002420088,26342,0.002637302
p33,18434,0.002592629,18652,0.002586482
p34,14380,0.003666402,15244,0.002581564
p35,19380,0.002553285,19932,0.002645498
p36,24380,0.002428285,24470,0.002555334
p37,17670,0.002365989,18028,0.002586482
p38,14067,0.002379104,14325,0.002555334
p39,18867,0.002397957,20098,0.002560252
p40,23667,0.002491809,24691,0.002882384
p41,10860,0.000586477,10860,0.000597542
p42,9746,0.000835248,10051,0.000971314
p43,8535,0.001110658,8667,0.001250413
p44,13970,0.000511887,13970,0.000600821
p45,12526,0.000894674,12778,0.000971724
p46,11316,0.001028281,11532,0.00110697
p47,15041,0.000529919,15141,0.00060328
p48,12047,0.000947953,12328,0.000893035
p49,11247,0.001016396,11368,0.001225823
p50,11874,0.000569674,11963,0.000722133
p51,12560,0.001037298,12902,0.001119265
p52,17490,0.000571723,17772,0.000659838
p53,16395,0.001010658,16928,0.003075008
p54,18142,0.000622543,18320,0.000637706
p55,15192,0.001086478,15207,0.00110697
p56,28184,0.003011893,29091,0.003482386
p57,37184,0.003129516,37902,0.003347549
p58,58184,0.003015991,58840,0.003413533
p59,49806,0.002853696,50347,0.003458205
p60,28184,0.003045909,28882,0.003278287
p61,37184,0.00317009,38310,0.003429926
p62,58184,0.00311845,58486,0.003179106
p63,44540,0.003116811,44540,0.003381566
p64,28184,0.002911892,28689,0.003186073
p65,37184,0.003086483,38013,0.003358205
p66,58184,0.003026237,58869,0.003525419
p67,46279,0.003833616,46904,0.003682796
p68,28184,0.003038532,28853,0.003846321
p69,37184,0.003111483,38264,0.005313947
p70,58184,0.00306763,59110,0.003620501
p71,48656,0.002891401,49310,0.00339468
